start,end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
2017-01-01,2017-06-30,141673000.0,0001479094-18-000027,2018,Q2,10-Q,2018-07-31,,RevenueFromContractWithCustomerExcludingAssessedTax,USD,STAG,0001479094
2017-04-01,2017-06-30,72193000.0,0001479094-18-000027,2018,Q2,10-Q,2018-07-31,CY2017Q2,RevenueFromContractWithCustomerExcludingAssessedTax,USD,STAG,0001479094
2018-01-01,2018-06-30,168757000.0,0001479094-18-000027,2018,Q2,10-Q,2018-07-31,,RevenueFromContractWithCustomerExcludingAssessedTax,USD,STAG,0001479094
2018-04-01,2018-06-30,85474000.0,0001479094-18-000027,2018,Q2,10-Q,2018-07-31,CY2018Q2,RevenueFromContractWithCustomerExcludingAssessedTax,USD,STAG,0001479094
2016-01-01,2016-12-31,250243000.0,0001479094-19-000006,2018,FY,10-K,2019-02-13,CY2016,Revenues,USD,STAG,0001479094
2017-01-01,2017-09-30,219817000.0,0001479094-18-000032,2018,Q3,10-Q,2018-11-01,,Revenues,USD,STAG,0001479094
2017-07-01,2017-09-30,78144000.0,0001479094-18-000032,2018,Q3,10-Q,2018-11-01,CY2017Q3,Revenues,USD,STAG,0001479094
2017-01-01,2017-12-31,301087000.0,0001479094-19-000006,2018,FY,10-K,2019-02-13,,Revenues,USD,STAG,0001479094
2017-01-01,2017-12-31,301087000.0,0001479094-20-000006,2019,FY,10-K,2020-02-12,CY2017,Revenues,USD,STAG,0001479094
2018-01-01,2018-03-31,83283000.0,0001479094-19-000010,2019,Q1,10-Q,2019-04-30,CY2018Q1,Revenues,USD,STAG,0001479094
2018-01-01,2018-06-30,168757000.0,0001479094-19-000018,2019,Q2,10-Q,2019-07-30,,Revenues,USD,STAG,0001479094
2018-04-01,2018-06-30,85474000.0,0001479094-19-000018,2019,Q2,10-Q,2019-07-30,CY2018Q2,Revenues,USD,STAG,0001479094
2018-01-01,2018-09-30,257703000.0,0001479094-18-000032,2018,Q3,10-Q,2018-11-01,,Revenues,USD,STAG,0001479094
2018-01-01,2018-09-30,257703000.0,0001479094-19-000025,2019,Q3,10-Q,2019-10-30,,Revenues,USD,STAG,0001479094
2018-07-01,2018-09-30,88946000.0,0001479094-18-000032,2018,Q3,10-Q,2018-11-01,,Revenues,USD,STAG,0001479094
2018-07-01,2018-09-30,88946000.0,0001479094-19-000025,2019,Q3,10-Q,2019-10-30,CY2018Q3,Revenues,USD,STAG,0001479094
2018-01-01,2018-12-31,350993000.0,0001479094-19-000006,2018,FY,10-K,2019-02-13,,Revenues,USD,STAG,0001479094
2018-01-01,2018-12-31,350993000.0,0001479094-20-000006,2019,FY,10-K,2020-02-12,,Revenues,USD,STAG,0001479094
2018-01-01,2018-12-31,350993000.0,0001479094-21-000007,2020,FY,10-K,2021-02-10,CY2018,Revenues,USD,STAG,0001479094
2019-01-01,2019-03-31,95702000.0,0001479094-19-000010,2019,Q1,10-Q,2019-04-30,,Revenues,USD,STAG,0001479094
2019-01-01,2019-03-31,95702000.0,0001479094-20-000014,2020,Q1,10-Q,2020-04-30,CY2019Q1,Revenues,USD,STAG,0001479094
2019-01-01,2019-06-30,192348000.0,0001479094-19-000018,2019,Q2,10-Q,2019-07-30,,Revenues,USD,STAG,0001479094
2019-01-01,2019-06-30,192348000.0,0001479094-20-000024,2020,Q2,10-Q,2020-07-28,,Revenues,USD,STAG,0001479094
2019-04-01,2019-06-30,96646000.0,0001479094-19-000018,2019,Q2,10-Q,2019-07-30,,Revenues,USD,STAG,0001479094
2019-04-01,2019-06-30,96646000.0,0001479094-20-000024,2020,Q2,10-Q,2020-07-28,CY2019Q2,Revenues,USD,STAG,0001479094
2019-01-01,2019-09-30,294769000.0,0001479094-19-000025,2019,Q3,10-Q,2019-10-30,,Revenues,USD,STAG,0001479094
2019-01-01,2019-09-30,294769000.0,0001479094-20-000030,2020,Q3,10-Q,2020-11-05,,Revenues,USD,STAG,0001479094
